NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
100311283	ORYCUNV1R-PS1660	vomeronasal 1 receptor oryCunV1R-ps1660 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311284	ORYCUNV1R1670	vomeronasal 1 receptor oryCunV1R1670	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100311285	ORYCUNV1R1672	vomeronasal 1 receptor oryCunV1R1672	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100311286	ORYCUNV1R-PS1643	vomeronasal 1 receptor oryCunV1R-ps1643 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311287	ORYCUNV1R-PS1652	vomeronasal 1 receptor oryCunV1R-ps1652 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311288	ORYCUNV1R-PS1659	vomeronasal 1 receptor oryCunV1R-ps1659 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311289	ORYCUNV1R-PS1566	vomeronasal 1 receptor oryCunV1R-ps1566 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311290	ORYCUNV1R-PS1576	vomeronasal 1 receptor oryCunV1R-ps1576 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311291	ORYCUNV1R-PS1613	vomeronasal 1 receptor oryCunV1R-ps1613 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311292	ORYCUNV1R-PS1620	vomeronasal 1 receptor oryCunV1R-ps1620 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311294	ORYCUNV1R-PS1624	vomeronasal 1 receptor oryCunV1R-ps1624 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311296	ORYCUNV1R-PS1649	vomeronasal 1 receptor oryCunV1R-ps1649 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311297	ORYCUNV1R-PS1651	vomeronasal 1 receptor oryCunV1R-ps1651 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311298	ORYCUNV1R-PS1653	vomeronasal 1 receptor oryCunV1R-ps1653 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311299	ORYCUNV1R-PS1655	vomeronasal 1 receptor oryCunV1R-ps1655 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100311300	ORYCUNV1R-PS1661	vomeronasal 1 receptor oryCunV1R-ps1661 pseudogene	Oryctolagus cuniculus	rabbit	PSEUDO			
100327259	CACNA1D	calcium voltage-gated channel subunit alpha1 D	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	17	776	NCBI Ortholog
100327270	COX6A1	cytochrome c oxidase subunit VIa	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1337	NCBI Ortholog
100328543	CYP11B2	cytochrome P450, family 11, subfamily B, polypeptide 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328569	KCNAB1	potassium voltage-gated channel subfamily A regulatory beta subunit 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	7881	NCBI Ortholog
100328600	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	8514	NCBI Ortholog
100328621	LOC100328621	alpha-1-antitrypsin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328631	STEAP2	STEAP2 metalloreductase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	261729	NCBI Ortholog
100328633	CLDN12	claudin 12	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	9069	NCBI Ortholog
100328634	CDK14	cyclin dependent kinase 14	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	9	5218	NCBI Ortholog
100328636	ZNF800	zinc finger protein 800	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	8	168850	NCBI Ortholog
100328637	GCC1	GRIP and coiled-coil domain containing 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	79571	NCBI Ortholog
100328638	FSCN3	fascin actin-bundling protein 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	29999	NCBI Ortholog
100328640	LOC100328640	ribosomal protein L39	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328643	SERPINB12	serpin family B member 12	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	89777	NCBI Ortholog
100328644	SERPINB13	serpin family B member 13	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	5275	NCBI Ortholog
100328646	SERPINB11	serpin family B member 11	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	89778	NCBI Ortholog
100328647	SERPINB7	serpin family B member 7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	8710	NCBI Ortholog
100328648	SERPINB10	serpin family B member 10	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5273	NCBI Ortholog
100328649	SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4		
100328650	PSMG1	proteasome assembly chaperone 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	8624	NCBI Ortholog
100328658	DPPA5	developmental pluripotency associated 5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	340168	NCBI Ortholog
100328659	MTO1	mitochondrial tRNA translation optimization 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	25821	NCBI Ortholog
100328660	SLC17A5	solute carrier family 17 member 5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	26503	NCBI Ortholog
100328662	SEMA6C	semaphorin 6C	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	10500	NCBI Ortholog
100328663	TNFAIP8L2	TNF alpha induced protein 8 like 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	79626	NCBI Ortholog
100328664	LYSMD1	LysM domain containing 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	388695	NCBI Ortholog
100328665	SCNM1	sodium channel modifier 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	79005	NCBI Ortholog
100328666	TMOD4	tropomodulin 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	29765	NCBI Ortholog
100328667	VPS72	vacuolar protein sorting 72 homolog	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6944	NCBI Ortholog
100328669	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	5710	NCBI Ortholog
100328670	ZNF687	zinc finger protein 687	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	57592	NCBI Ortholog
100328671	PI4KB	phosphatidylinositol 4-kinase beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	5298	NCBI Ortholog
100328673	PSMB4	proteasome 20S subunit beta 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5692	NCBI Ortholog
100328674	POGZ	pogo transposable element derived with ZNF domain	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	17	23126	NCBI Ortholog
100328675	CGN	cingulin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	57530	NCBI Ortholog
100328677	CELF3	CUGBP Elav-like family member 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	9	11189	NCBI Ortholog
100328678	ZSCAN29	zinc finger and SCAN domain containing 29	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	146050	NCBI Ortholog
100328679	TUBGCP4	tubulin gamma complex component 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	27229	NCBI Ortholog
100328681	MAP1A	microtubule associated protein 1A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	4130	NCBI Ortholog
100328683	CKMT1B	creatine kinase, mitochondrial 1B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7		
100328684	STRC	stereocilin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	11	161497	NCBI Ortholog
100328686	ELL3	elongation factor for RNA polymerase II 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	80237	NCBI Ortholog
100328687	HYPK	huntingtin interacting protein K	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	25764	NCBI Ortholog
100328689	MFAP1	microfibril associated protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4236	NCBI Ortholog
100328690	WDR76	WD repeat domain 76	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	79968	NCBI Ortholog
100328693	LOC100328693	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328696	SEC63	SEC63 homolog, protein translocation regulator	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	11231	NCBI Ortholog
100328697	OSTM1	osteoclastogenesis associated transmembrane protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	28962	NCBI Ortholog
100328698	NR2E1	nuclear receptor subfamily 2 group E member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7101	NCBI Ortholog
100328699	SNX3	sorting nexin 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	8724	NCBI Ortholog
100328700	XIAP	X-linked inhibitor of apoptosis	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	331	NCBI Ortholog
100328701	STAG2	STAG2 cohesin complex component	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	10735	NCBI Ortholog
100328702	SF1	splicing factor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	15	7536	NCBI Ortholog
100328706	ERGIC3	ERGIC and golgi 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	51614	NCBI Ortholog
100328707	SPAG4	sperm associated antigen 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	6676	NCBI Ortholog
100328708	RBM12	RNA binding motif protein 12	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	10137	NCBI Ortholog
100328709	NFS1	NFS1 cysteine desulfurase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	9054	NCBI Ortholog
100328710	RBM39	RNA binding motif protein 39	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	11	9584	NCBI Ortholog
100328711	PHF20	PHD finger protein 20	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	51230	NCBI Ortholog
100328713	MDFI	MyoD family inhibitor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	11	4188	NCBI Ortholog
100328714	TFEB	transcription factor EB	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	7942	NCBI Ortholog
100328715	FRS3	fibroblast growth factor receptor substrate 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	10817	NCBI Ortholog
100328716	TOMM6	translocase of outer mitochondrial membrane 6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	100188893	NCBI Ortholog
100328717	USP49	ubiquitin specific peptidase 49	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	11	25862	NCBI Ortholog
100328718	ASF1A	anti-silencing function 1A histone chaperone	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	25842	NCBI Ortholog
100328719	ACSL6	acyl-CoA synthetase long chain family member 6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	23305	NCBI Ortholog
100328720	CSF2	colony stimulating factor 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	1437	NCBI Ortholog
100328722	PDLIM4	PDZ and LIM domain 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	8572	NCBI Ortholog
100328723	SLC22A4	solute carrier family 22 (organic cation/zwitterion transporter), member 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3		
100328724	IRF1	interferon regulatory factor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	3659	NCBI Ortholog
100328725	RAD50	RAD50 double strand break repair protein	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	10111	NCBI Ortholog
100328726	SEPTIN8	septin 8	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	23176	NCBI Ortholog
100328728	LEAP2	liver enriched antimicrobial peptide 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	116842	NCBI Ortholog
100328729	PATZ1	POZ/BTB and AT hook containing zinc finger 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	23598	NCBI Ortholog
100328730	DRG1	developmentally regulated GTP binding protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4733	NCBI Ortholog
100328731	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	56478	NCBI Ortholog
100328734	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7533	NCBI Ortholog
100328735	SLC5A4	solute carrier family 5 member 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328737	PRDM4	PR/SET domain 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	11108	NCBI Ortholog
100328738	BPIFC	BPI fold containing family C	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	254240	NCBI Ortholog
100328739	FBXO7	F-box protein 7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	25793	NCBI Ortholog
100328740	SYN3	synapsin III	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	8224	NCBI Ortholog
100328741	ABCD1	ATP binding cassette subfamily D member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	215	NCBI Ortholog
100328743	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	3421	NCBI Ortholog
100328744	SSR4	signal sequence receptor subunit 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6748	NCBI Ortholog
100328746	L1CAM	L1 cell adhesion molecule	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	3897	NCBI Ortholog
100328748	NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	8260	NCBI Ortholog
100328751	MECP2	methyl-CpG binding protein 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	4204	NCBI Ortholog
100328754	FLNA	filamin A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2316	NCBI Ortholog
100328755	EMD	emerin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2010	NCBI Ortholog
100328756	RA_M006_JSM7BED4F	FLNA protein	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328757	RPL10	ribosomal protein L10	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328759	TAFAZZIN	tafazzin, phospholipid-lysophospholipid transacylase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	6901	NCBI Ortholog
100328760	ATP6AP1	ATPase H+ transporting accessory protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	537	NCBI Ortholog
100328761	GDI1	GDP dissociation inhibitor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2664	NCBI Ortholog
100328763	PLXNA3	plexin A3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	55558	NCBI Ortholog
100328765	G6PD	glucose-6-phosphate dehydrogenase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	2539	NCBI Ortholog
100328766	GAB3	GRB2 associated binding protein 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	139716	NCBI Ortholog
100328768	MPP1	MAGUK p55 scaffold protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4354	NCBI Ortholog
100328769	FUNDC2	FUN14 domain containing 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	65991	NCBI Ortholog
100328770	VBP1	VHL binding protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7411	NCBI Ortholog
100328771	RAB39B	RAB39B, member RAS oncogene family	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	116442	NCBI Ortholog
100328774	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	59284	NCBI Ortholog
100328776	CNOT3	CCR4-NOT transcription complex subunit 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	4849	NCBI Ortholog
100328777	LENG1	leukocyte receptor cluster member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	79165	NCBI Ortholog
100328782	HOXA1	homeobox A1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3198	NCBI Ortholog
100328783	HOXA2	homeobox A2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3199	NCBI Ortholog
100328784	HOXA3	homeobox A3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3200	NCBI Ortholog
100328785	HOXA4	homeobox A4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3201	NCBI Ortholog
100328786	HOXA6	homeobox A6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3203	NCBI Ortholog
100328787	HOXA7	homeobox A7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3204	NCBI Ortholog
100328788	HOXA9	homeobox A9	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3205	NCBI Ortholog
100328791	EVX1	even-skipped homeobox 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2128	NCBI Ortholog
100328794	MDFIC	MyoD family inhibitor domain containing	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	29969	NCBI Ortholog
100328795	ZPR1	ZPR1 zinc finger	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	8882	NCBI Ortholog
100328796	APOA5	apolipoprotein A5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	116519	NCBI Ortholog
100328797	APOA4	apolipoprotein A4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	337	NCBI Ortholog
100328798	POLR3K	RNA polymerase III subunit K	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	51728	NCBI Ortholog
100328799	RHBDF1	rhomboid 5 homolog 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	64285	NCBI Ortholog
100328800	NPRL3	NPR3 like, GATOR1 complex subunit	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	8131	NCBI Ortholog
100328803	LOC100328803	hemoglobin subunit theta 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328804	HBQ1	hemoglobin subunit theta 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	3049	NCBI Ortholog
100328807	SYNJ1	synaptojanin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	24	8867	NCBI Ortholog
100328808	PAXBP1	PAX3 and PAX7 binding protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	94104	NCBI Ortholog
100328810	TMEM50B	transmembrane protein 50B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	757	NCBI Ortholog
100328811	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	2618	NCBI Ortholog
100328815	ATP5PO	ATP synthase peripheral stalk subunit OSCP	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	539	NCBI Ortholog
100328816	SLC5A3	solute carrier family 5 member 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	6526	NCBI Ortholog
100328817	OR51E1	olfactory receptor, family 51, subfamily E, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2		
100328819	OLR60	olfactory receptor Olr60	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328820	OR51E2	olfactory receptor, family 51, subfamily E, member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3		
100328821	OLFR561	olfactory receptor 561	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328824	OR51F1	olfactory receptor 51F1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	256892	NCBI Ortholog
100328825	OLFR582	olfactory receptor 582	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328827	OR51F2	olfactory receptor, family 51, subfamily F, member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328828	OR52R1	olfactory receptor 52R1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328829	OR51S1	olfactory receptor, family 51, subfamily S, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	119692	NCBI Ortholog
100328830	OLFR572	olfactory receptor 572	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328831	OLFR555	olfactory receptor 555	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328832	OR51A7	olfactory receptor, family 51, subfamily A, member 7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	119687	NCBI Ortholog
100328833	OR51G2	olfactory receptor, family 51, subfamily G, member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	81282	NCBI Ortholog
100328834	OR51G1	olfactory receptor, family 51, subfamily G, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	79324	NCBI Ortholog
100328836	OR51L1	olfactory receptor, family 51, subfamily L, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328837	COR51P3	cOR51P3 olfactory receptor family 51 subfamily P-like	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328838	OR52E1	olfactory receptor 52E1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328839	OR52J3	olfactory receptor, family 52, subfamily J, member 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328840	OR52E2	olfactory receptor, family 52, subfamily E, member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328841	OLFR594	olfactory receptor 594	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328842	OLFR604	olfactory receptor 604	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328843	OLFR605	olfactory receptor 605	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328844	OLFR630	olfactory receptor 630	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328845	OLR94	olfactory receptor Olr94	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328846	OLR96	olfactory receptor Olr96	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328850	OLR107	olfactory receptor Olr107	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328851	OLR108	olfactory receptor Olr108	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328852	OLR109	olfactory receptor Olr109	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328853	OLR110	olfactory receptor Olr110	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328854	OLFR68	MOR 3'Beta2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328855	OLFR622	olfactory receptor 622	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328860	OR51B4	olfactory receptor, family 51, subfamily B, member 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	79339	NCBI Ortholog
100328861	OLFR64_1	MOR 5'beta3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	390058	NCBI Ortholog
100328863	OR51M1	olfactory receptor, family 51, subfamily M, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328864	OLR136	olfactory receptor Olr136	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328865	OLR140	olfactory receptor Olr140	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	390061	NCBI Ortholog
100328866	OLFR639	olfactory receptor 639	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328867	OR51I1	olfactory receptor, family 51, subfamily I, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328868	OR51I2	olfactory receptor, family 51, subfamily I, member 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328869	OLFR642	olfactory receptor S85	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328870	OLFR643_1	olfactory receptor MOR13-2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328871	OLFR644	olfactory receptor 644	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328872	OLFR645	olfactory receptor 645	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328873	OR52D1_1	olfactory receptor 52D1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328874	OR52D1_2	olfactory receptor, family 52, subfamily D, member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328875	UBQLN3	ubiquilin 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2		
100328876	UBQLNL	ubiquilin like	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	143630	NCBI Ortholog
100328877	OLFR649	olfactory receptor MOR31-7	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328878	OR52B6	olfactory receptor, family 52, subfamily B, member 6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	340980	NCBI Ortholog
100328879	TRIM6	tripartite motif containing 6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	10		
100328880	OLFR651_1	olfactory receptor 651	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328881	OLR153	olfactory receptor Olr153	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328884	OLFR656	olfactory receptor 656	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328885	OR52N4	olfactory receptor, family 52, subfamily N, member 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328886	OLFR658	olfactory receptor 658	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328888	HTR5BP	5-hydroxytryptamine (serotonin) receptor 5B	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328890	DES	desmin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1674	NCBI Ortholog
100328891	SPEG	striated muscle enriched protein kinase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	10290	NCBI Ortholog
100328892	CHPF	chondroitin polymerizing factor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	79586	NCBI Ortholog
100328893	TMEM198	transmembrane protein 198	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	130612	NCBI Ortholog
100328894	OBSL1	obscurin like cytoskeletal adaptor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	9	23363	NCBI Ortholog
100328897	GDF5	growth differentiation factor 5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	8200	NCBI Ortholog
100328899	INHA	inhibin subunit alpha	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3623	NCBI Ortholog
100328900	KATNAL1	katanin catalytic subunit A1 like 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	84056	NCBI Ortholog
100328901	LOC100328901	ribosomal protein L32	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100328902	RFX5	regulatory factor X5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	9	5993	NCBI Ortholog
100328904	CPNE1	copine I	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	11		
100328905	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	7	8517	NCBI Ortholog
